Date,iShares MSCI Emerging Markets,Vanguard Total World Stock ETF,FTSE100,DAX,S&P500,Hang Seng,Nikkei225,Russell 2000,STOXX50,VIX Index,RSI,MACD,MACD_Signal,Bollinger_High,Bollinger_Low,EUR/USD,GBP/USD,USD/JPY,USD/CNY,US 10Y Yield,US 2Y Yield,Germany 10Y Yield,Class
2019-02-07,36.946590423583984,62.143226623535156,7093.60009765625,11022.01953125,2706.050048828125,27990.2109375,20751.279296875,1505.6300048828125,3150.760009765625,16.3700008392334,69.66719309784399,36.35010569151973,28.711343907900353,2816.572790436735,2619.207190032015,6.743800163269043,1.1365960836410522,1.2934435606002808,109.9739990234375,11022.01953125,2.3550000190734863,2.6519999504089355,Strong Negative
2019-02-08,36.737457275390625,62.028751373291016,7071.2001953125,10906.7802734375,2707.8798828125,27946.3203125,20333.169921875,1506.3900146484375,3135.6201171875,15.720000267028809,69.96274186587071,35.2038636188322,30.009847850086725,2816.572790436735,2619.207190032015,6.743800163269043,1.1338768005371094,1.2949174642562866,109.75599670410156,10906.7802734375,2.365000009536743,2.631999969482422,Slightly Positive
2019-02-11,36.61545944213867,62.028751373291016,7129.10009765625,11014.58984375,2709.800048828125,28143.83984375,20333.169921875,1518.97998046875,3165.610107421875,15.970000267028809,70.2667505691082,34.05780271847061,30.819438823763505,2816.572790436735,2619.207190032015,6.743800163269043,1.1324259042739868,1.293677806854248,109.80999755859375,11014.58984375,2.375,2.6610000133514404,Slightly Positive
2019-02-12,36.920448303222656,62.78606033325195,7133.10009765625,11126.080078125,2744.72998046875,28171.330078125,20864.2109375,1538.22998046875,3190.75,15.430000305175781,74.22437748840095,35.558201942014875,31.76719144741378,2816.572790436735,2619.207190032015,6.791399955749512,1.1279042959213257,1.2864052057266235,110.4000015258789,11126.080078125,2.378000020980835,2.684000015258789,Strong Positive
2019-02-13,36.659027099609375,62.81248474121094,7190.7998046875,11167.2197265625,2753.030029296875,28497.58984375,21144.48046875,1542.93994140625,3202.3701171875,15.649999618530273,74.76289871408801,36.990618881884075,32.81187693430784,2816.572790436735,2619.207190032015,6.7729997634887695,1.1334655284881592,1.2892080545425415,110.51499938964844,11167.2197265625,2.372999906539917,2.7079999446868896,Slightly Positive
2019-02-14,36.72874450683594,62.80366897583008,7197.0,11089.7900390625,2745.72998046875,28432.05078125,21139.7109375,1545.1099853515625,3182.659912109375,16.219999313354492,69.42751870097766,37.10899727433116,33.671301002312504,2816.572790436735,2619.207190032015,6.759399890899658,1.12649405002594,1.2856775522232056,110.9229965209961,11089.7900390625,2.372999906539917,2.6570000648498535,Slightly Negative
2019-02-15,36.67645263671875,63.49052429199219,7236.7001953125,11299.7998046875,2775.60009765625,27900.83984375,20900.630859375,1569.25,3241.25,14.90999984741211,80.30824495150887,39.161650693350566,34.76937094052012,2816.572790436735,2619.207190032015,6.771200180053711,1.1295350790023804,1.2798361778259277,110.53800201416016,11299.7998046875,2.369999885559082,2.6659998893737793,Strong Positive
2019-02-18,36.67645263671875,63.49052429199219,7219.5,11299.2001953125,2775.60009765625,28347.009765625,21281.849609375,1569.25,3244.7900390625,14.90999984741211,81.75646315134661,39.161650693350566,35.64782689108621,2816.572790436735,2619.207190032015,6.77209997177124,1.1298030614852905,1.290555715560913,110.56400299072266,11299.2001953125,2.369999885559082,2.6659998893737793,Slightly Positive
2019-02-19,36.964012145996094,63.64903259277344,7179.2001953125,11309.2099609375,2779.760009765625,28228.130859375,21302.650390625,1574.469970703125,3239.409912109375,14.880000114440918,77.41376503316322,41.40972475939225,36.80020646474742,2816.572790436735,2619.207190032015,6.765699863433838,1.131196141242981,1.2924071550369263,110.59100341796875,11309.2099609375,2.372999906539917,2.6470000743865967,Slightly Positive
2019-02-20,37.17314529418945,63.886783599853516,7228.60009765625,11401.9697265625,2784.699951171875,28514.05078125,21431.490234375,1581.6600341796875,3259.489990234375,14.020000457763672,74.76351522360862,42.35375192546417,37.91091555689077,2816.572790436735,2619.207190032015,6.757699966430664,1.1343011856079102,1.3061310052871704,110.5719985961914,11401.9697265625,2.382999897003174,2.6540000438690186,Slightly Positive
